,,Murder,Assault,UrbanPop,Rape
1,Alabama,13.2,236,58,21.2
2,Alaska,10,263,48,44.5
3,Arizona,8.1,294,80,31
4,Arkansas,8.8,190,50,19.5
5,California,9,276,91,40.6
6,Colorado,7.9,204,78,38.7
7,Connecticut,3.3,110,77,11.1
8,Delaware,5.9,238,72,15.8
9,Florida,15.4,335,80,31.9
10,Georgia,17.4,211,60,25.8
11,Hawaii,5.3,46,83,20.2
12,Idaho,2.6,120,54,14.2
13,Illinois,10.4,249,83,24
14,Indiana,7.2,113,65,21
15,Iowa,2.2,56,57,11.3
16,Kansas,6,115,66,18
17,Kentucky,9.7,109,52,16.3
18,Louisiana,15.4,249,66,22.2
19,Maine,2.1,83,51,7.8
20,Maryland,11.3,300,67,27.8
21,Massachusetts,4.4,149,85,16.3
22,Michigan,12.1,255,74,35.1
23,Minnesota,2.7,72,66,14.9
24,Mississippi,16.1,259,44,17.1
25,Missouri,9,178,70,28.2
26,Montana,6,109,53,16.4
27,Nebraska,4.3,102,62,16.5
28,Nevada,12.2,252,81,46
29,New Hampshire,2.1,57,56,9.5
30,New Jersey,7.4,159,89,18.8
31,New Mexico,11.4,285,70,32.1
32,New York,11.1,254,86,26.1
33,North Carolina,13,337,45,16.1
34,North Dakota,0.8,45,44,7.3
35,Ohio,7.3,120,75,21.4
36,Oklahoma,6.6,151,68,20
37,Oregon,4.9,159,67,29.3
38,Pennsylvania,6.3,106,72,14.9
39,Rhode Island,3.4,174,87,8.3
40,South Carolina,14.4,279,48,22.5
41,South Dakota,3.8,86,45,12.8
42,Tennessee,13.2,188,59,26.9
43,Texas,12.7,201,80,25.5
44,Utah,3.2,120,80,22.9
45,Vermont,2.2,48,32,11.2
46,Virginia,8.5,156,63,20.7
47,Washington,4,145,73,26.2
48,West Virginia,5.7,81,39,9.3
49,Wisconsin,2.6,53,66,10.8
50,Wyoming,6.8,161,60,15.6
